ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
49	13964.810993615196	13963.376660989672	13962.67153042478	13952.97259210025
50	13965.932494968065	13965.941482630653	13963.02282046091	13953.626708319176
51	13965.926627728366	13964.195192055291	13962.914624172816	13952.663924318282
52	13962.90877037731	13965.483844860819	13962.836137833681	13952.91356711247
53	13962.020563921064	13963.664981338903	13962.70096275847	13953.18671174575
54	13964.564527478557	13963.940488558215	13962.807547208722	13953.196491950996
55	13964.20884100361	13963.571857882947	13963.091045544163	13952.796348108226
56	13962.716734297957	13967.607230357895	13963.267108462958	13953.35510400575
57	13964.607117819942	13967.416914503254	13963.392852714864	13953.555456691585
58	13964.457169178742	13964.419993696602	13962.936537166604	13955.323425057897
59	13965.6814267384	13968.403864375165	13963.246853444618	13955.38169600855
60	13963.79788721075	13966.227502001526	13963.051395675686	13954.204519130984
61	13965.800923651665	13967.972053235637	13963.464550180923	13953.736313651712
62	13966.732561600156	13968.673364482198	13963.552280197278	13952.532458928536
63	13966.624398790713	13970.221129054153	13963.627625677536	13954.478520424456
64	13964.165482343069	13966.33463770069	13963.428518683148	13952.905390887996
65	13964.714782735518	13965.083841974074	13963.673158008398	13953.951882866924
66	13966.977712868762	13966.918486181778	13963.828826742985	13954.263233107942
67	13966.467282060144	13965.817476870852	13963.676275476366	13953.65054669153
68	13966.29039333646	13968.34466234285	13963.848913513022	13953.668690706474
69	13964.121779964815	13965.89731040617	13963.623809868926	13953.661919304093
70	13964.958939660271	13965.465796058388	13963.644957217488	13953.630873830742
71	13964.158255747068	13963.915932412441	13963.103172045718	13953.920466126216
72	13965.161428437235	13964.768708515121	13963.535574408414	13955.422593935216
73	13964.37860125087	13964.019831565975	13963.524889021388	13953.700076475707
74	13962.177072818586	13965.062735149091	13962.992608736884	13952.863036844374
75	13963.590695803847	13964.607311691914	13962.759660737576	13953.377536195338
76	13961.384738066077	13961.58435309166	13962.292911203805	13954.457722893034
77	13961.82167085591	13962.6064324981	13962.264666787758	13955.800704256215
78	13963.759253573935	13966.748519616367	13962.551453069536	13955.044880201116
79	13962.230767360934	13965.0382248081	13962.376287136432	13955.065026532224
80	13963.231270504797	13962.457832459562	13962.362846031428	13953.821680762416
81	13963.153877077822	13965.721561627304	13962.458335102701	13954.93025064557
82	13963.362087628475	13964.924772951255	13962.458335102701	13954.922834951594
83	13963.44220991618	13964.88099981447	13962.458335102701	13955.135571310722
84	13963.43754894612	13965.364884253439	13962.458335102701	13954.917812124915
85	13963.179461972684	13964.158782638731	13962.458335102701	13955.370383213476
86	13963.439881075536	13964.354527670452	13962.458335102701	13955.036049083063
87	13963.425879326069	13964.030944621773	13962.458335102701	13955.665198438932
88	13963.213300378275	13964.447264656406	13962.458335102701	13955.771745883683
89	13963.171487594314	13964.196539384642	13962.458335102701	13955.829875017082
90	13963.180965749147	13964.863843319266	13962.458335102701	13955.539480852103
91	13963.216735980228	13965.012753206773	13962.458335102701	13955.473325249925
92	13963.133671189284	13965.495367200741	13962.458335102701	13956.646033985133
93	13963.344423071198	13965.114411359862	13962.458335102701	13956.431847566406
94	13963.229257796464	13964.778124011145	13962.458335102701	13956.000242308293
95	13962.835051581113	13964.26063249273	13962.458335102701	13956.164811485336
96	13963.00708703659	13965.397943423814	13962.458335102701	13955.750029274423
97	13963.205309901554	13964.964750353693	13962.458335102701	13956.736047661636
98	13963.477438423748	13965.175349027624	13962.458335102701	13956.889405855341
99	13963.128579071008	13964.809272039362	13962.458335102701	13956.188492523563
100	13963.405525943317	13965.494966764183	13962.458335102701	13956.342987902428
