Iteration	BEGIN iteration	BEGIN replanning	END replanning	BEGIN dump all plans	END dump all plans	BEGIN mobsim	END mobsim	BEGIN compare with counts	END compare with counts	END iteration		replanning	dump all plans	mobsim	compare with counts	iteration
15	12:34:14	12:34:14	12:38:16			12:38:16	12:40:29			12:40:31		00:04:02		00:02:12		00:06:17
16	12:40:31	12:40:31	12:44:04			12:44:04	12:45:48			12:45:58		00:03:32		00:01:43		00:05:26
17	12:45:58	12:45:58	12:49:25			12:49:26	12:51:20			12:51:31		00:03:26		00:01:54		00:05:32
18	12:51:31	12:51:31	12:55:08			12:55:08	12:56:53			12:57:00		00:03:36		00:01:44		00:05:28
19	12:57:00	12:57:00	13:00:17			13:00:17	13:02:00			13:02:09		00:03:16		00:01:43		00:05:08
20	13:02:09	13:02:09	13:05:26	13:05:26	13:05:38	13:05:38	13:09:12	13:09:30	13:09:35	13:09:41		00:03:17	00:00:12	00:03:33	00:00:05	00:07:32
21	13:09:41	13:09:42	13:13:53			13:13:53	13:15:58			13:16:04		00:04:10		00:02:04		00:06:22
22	13:16:04	13:16:04	13:20:02			13:20:02	13:22:17			13:22:27		00:03:57		00:02:14		00:06:22
23	13:22:27	13:22:27	13:26:19			13:26:19	13:28:09			13:28:17		00:03:51		00:01:49		00:05:49
24	13:28:17	13:28:17	13:31:50			13:31:50	13:34:02			13:34:06		00:03:32		00:02:11		00:05:48
25	13:34:06	13:34:06	13:37:29			13:37:30	13:39:06			13:39:14		00:03:23		00:01:36		00:05:08
26	13:39:14	13:39:15	13:42:16			13:42:16	13:43:53			13:44:02		00:03:01		00:01:36		00:04:47
27	13:44:02	13:44:02	13:47:24			13:47:25	13:49:08			13:49:14		00:03:22		00:01:43		00:05:12
28	13:49:14	13:49:14	13:52:17			13:52:18	13:54:01			13:54:04		00:03:02		00:01:43		00:04:49
29	13:54:04	13:54:04	13:57:22			13:57:22	13:59:11			13:59:20		00:03:17		00:01:49		00:05:15
30	13:59:20	13:59:20	14:02:31	14:02:31	14:02:42	14:02:42	14:05:15	14:05:30	14:05:36	14:05:40		00:03:11	00:00:10	00:02:32	00:00:05	00:06:20
31	14:05:40	14:05:40	14:08:49			14:08:49	14:10:20			14:10:33		00:03:08		00:01:30		00:04:52
32	14:10:33	14:10:33	14:13:36			14:13:37	14:15:09			14:15:14		00:03:03		00:01:32		00:04:40
33	14:15:14	14:15:14	14:18:18			14:18:18	14:20:08			14:20:13		00:03:03		00:01:50		00:04:59
34	14:20:13	14:20:13	14:23:28			14:23:28	14:25:01			14:25:09		00:03:14		00:01:33		00:04:55
35	14:25:09	14:25:09	14:28:21			14:28:21	14:30:11			14:30:27		00:03:11		00:01:50		00:05:18
36	14:30:27	14:30:27	14:33:45			14:33:46	14:35:16			14:35:24		00:03:17		00:01:30		00:04:57
37	14:35:24	14:35:25	14:38:34			14:38:34	14:40:22			14:40:28		00:03:09		00:01:48		00:05:03
38	14:40:28	14:40:28	14:43:35			14:43:35	14:45:07			14:45:18		00:03:06		00:01:31		00:04:49
39	14:45:18	14:45:18	14:48:28			14:48:29	14:49:56			14:50:13		00:03:10		00:01:27		00:04:55
40	14:50:13	14:50:13	14:53:27	14:53:28	14:53:38	14:53:38	14:56:12	14:56:27	14:56:33	14:56:36		00:03:13	00:00:10	00:02:34	00:00:05	00:06:23
41	14:56:36	14:56:37	14:59:57			14:59:58	15:01:46			15:01:50		00:03:20		00:01:48		00:05:13
42	15:01:50	15:01:50	15:05:03			15:05:03	15:06:41			15:06:48		00:03:13		00:01:38		00:04:58
43	15:06:48	15:06:48	15:10:00			15:10:00	15:11:57			15:12:00		00:03:11		00:01:56		00:05:11
44	15:12:00	15:12:00	15:15:16			15:15:16	15:16:58			15:17:05		00:03:16		00:01:42		00:05:05
45	15:17:05	15:17:05	15:20:17			15:20:18	15:21:50			15:21:56		00:03:12		00:01:32		00:04:50
46	15:21:56	15:21:56	15:24:55			15:24:55	15:26:29			15:26:40		00:02:59		00:01:33		00:04:43
47	15:26:40	15:26:40	15:29:51			15:29:51	15:31:34			15:31:50		00:03:11		00:01:43		00:05:10
48	15:31:50	15:31:50	15:34:57			15:34:57	15:36:34			15:36:40		00:03:06		00:01:37		00:04:49
49	15:36:40	15:36:40	15:39:57			15:39:58	15:41:37			15:41:47		00:03:17		00:01:39		00:05:07
50	15:41:47	15:41:47	15:44:53	15:44:53	15:45:05	15:45:05	15:47:37	15:47:52	15:47:58	15:48:02		00:03:05	00:00:11	00:02:32	00:00:06	00:06:14
51	15:48:02	15:48:02	15:51:15			15:51:16	15:52:52			15:53:02		00:03:13		00:01:36		00:05:00
52	15:53:02	15:53:02	15:56:03			15:56:04	15:57:27			15:57:33		00:03:00		00:01:23		00:04:31
53	15:57:33	15:57:34	16:00:43			16:00:43	16:02:22			16:02:30		00:03:09		00:01:38		00:04:56
54	16:02:30	16:02:31	16:05:40			16:05:40	16:07:20			16:07:25		00:03:09		00:01:39		00:04:54
55	16:07:25	16:07:25	16:10:42			16:10:42	16:12:21			16:12:29		00:03:17		00:01:38		00:05:04
56	16:12:29	16:12:29	16:15:39			16:15:40	16:17:31			16:17:34		00:03:10		00:01:51		00:05:04
57	16:17:34	16:17:34	16:20:47			16:20:47	16:22:31			16:22:39		00:03:13		00:01:43		00:05:05
58	16:22:39	16:22:39	16:25:51			16:25:52	16:27:28			16:27:36		00:03:12		00:01:36		00:04:57
59	16:27:36	16:27:36	16:30:58			16:30:58	16:32:23			16:32:35		00:03:21		00:01:24		00:04:59
60	16:32:35	16:32:36	16:35:41	16:35:42	16:36:01	16:36:01	16:38:13	16:38:25	16:38:27	16:38:29		00:03:05	00:00:18	00:02:12	00:00:02	00:05:53
61	16:38:29	16:38:30	16:41:25			16:41:26	16:42:52			16:42:56		00:02:55		00:01:26		00:04:26
62	16:42:56	16:42:56	16:45:48			16:45:49	16:47:13			16:47:22		00:02:52		00:01:24		00:04:25
63	16:47:22	16:47:22	16:50:11			16:50:12	16:51:37			16:51:42		00:02:49		00:01:25		00:04:20
64	16:51:42	16:51:42	16:54:37			16:54:37	16:56:03			16:56:08		00:02:54		00:01:25		00:04:26
65	16:56:08	16:56:09	16:58:57			16:58:58	17:00:24			17:00:36		00:02:48		00:01:26		00:04:27
66	17:00:36	17:00:36	17:02:34			17:02:34	17:03:24			17:03:27		00:01:57		00:00:49		00:02:50
67	17:03:27	17:03:27	17:05:13			17:05:14	17:06:03			17:06:06		00:01:46		00:00:49		00:02:39
68	17:06:06	17:06:06	17:07:47			17:07:48	17:08:38			17:08:41		00:01:41		00:00:50		00:02:34
69	17:08:41	17:08:41	17:10:23			17:10:23	17:11:12			17:11:14		00:01:41		00:00:49		00:02:33
70	17:11:14	17:11:15	17:13:01	17:13:02	17:13:08	17:13:08	17:14:33	17:14:40	17:14:42	17:14:44		00:01:46	00:00:06	00:01:24	00:00:02	00:03:29
71	17:14:44	17:14:44	17:16:30			17:16:31	17:17:19			17:17:21		00:01:46		00:00:48		00:02:37
72	17:17:21	17:17:21	17:19:10			17:19:10	17:19:58			17:20:00		00:01:48		00:00:48		00:02:38
73	17:20:00	17:20:00	17:21:42			17:21:42	17:22:31			17:22:33		00:01:42		00:00:48		00:02:32
74	17:22:33	17:22:33	17:24:18			17:24:18	17:25:10			17:25:12		00:01:44		00:00:52		00:02:39
75	17:25:12	17:25:12	17:26:58			17:26:58	17:27:48			17:27:50		00:01:46		00:00:49		00:02:37
76	17:27:50	17:27:50	17:29:34			17:29:34	17:30:23			17:30:26		00:01:43		00:00:49		00:02:35
77	17:30:26	17:30:26	17:32:11			17:32:11	17:33:00			17:33:02		00:01:45		00:00:48		00:02:36
78	17:33:02	17:33:02	17:34:45			17:34:45	17:35:34			17:35:36		00:01:42		00:00:48		00:02:33
79	17:35:36	17:35:36	17:37:20			17:37:20	17:38:11			17:38:13		00:01:43		00:00:50		00:02:36
80	17:38:13	17:38:13	17:40:00	17:40:00	17:40:07	17:40:07	17:41:29	17:41:37	17:41:39	17:41:40		00:01:46	00:00:06	00:01:22	00:00:01	00:03:27
81	17:41:40	17:41:40	17:41:40			17:41:41	17:42:34			17:42:35		00:00:00		00:00:53		00:00:55
82	17:42:35	17:42:36	17:42:36			17:42:36	17:43:25			17:43:27		00:00:00		00:00:49		00:00:51
83	17:43:27	17:43:27	17:43:27			17:43:27	17:44:18			17:44:21		00:00:00		00:00:50		00:00:53
84	17:44:21	17:44:21	17:44:21			17:44:21	17:45:13			17:45:15		00:00:00		00:00:51		00:00:53
85	17:45:15	17:45:15	17:45:15			17:45:15	17:46:06			17:46:08		00:00:00		00:00:51		00:00:53
86	17:46:08	17:46:08	17:46:08			17:46:08	17:46:59			17:47:02		00:00:00		00:00:51		00:00:53
87	17:47:02	17:47:02	17:47:02			17:47:02	17:47:54			17:47:56		00:00:00		00:00:51		00:00:54
88	17:47:56	17:47:56	17:47:56			17:47:56	17:48:47			17:48:49		00:00:00		00:00:50		00:00:53
89	17:48:49	17:48:49	17:48:49			17:48:49	17:49:40			17:49:43		00:00:00		00:00:50		00:00:54
90	17:49:43	17:49:43	17:49:44	17:49:44	17:49:50	17:49:50	17:51:12	17:51:20	17:51:22	17:51:23		00:00:00	00:00:06	00:01:22	00:00:01	00:01:39
91	17:51:23	17:51:23	17:51:23			17:51:24	17:52:16			17:52:18		00:00:00		00:00:52		00:00:54
92	17:52:18	17:52:18	17:52:18			17:52:18	17:53:08			17:53:10		00:00:00		00:00:49		00:00:51
93	17:53:10	17:53:10	17:53:10			17:53:10	17:54:00			17:54:02		00:00:00		00:00:50		00:00:52
94	17:54:02	17:54:02	17:54:02			17:54:02	17:54:54			17:54:55		00:00:00		00:00:51		00:00:53
95	17:54:55	17:54:56	17:54:56			17:54:56	17:55:49			17:55:51		00:00:00		00:00:53		00:00:55
96	17:55:51	17:55:51	17:55:51			17:55:52	17:56:41			17:56:43		00:00:00		00:00:49		00:00:52
97	17:56:43	17:56:44	17:56:44			17:56:44	17:57:34			17:57:37		00:00:00		00:00:50		00:00:53
98	17:57:37	17:57:37	17:57:37			17:57:37	17:58:28			17:58:30		00:00:00		00:00:51		00:00:53
99	17:58:30	17:58:30	17:58:31			17:58:31	17:59:21			17:59:23		00:00:00		00:00:50		00:00:53
100	17:59:23	17:59:23	17:59:24	17:59:24	17:59:30	17:59:30	18:00:53	18:01:00	18:01:02	18:01:04		00:00:00	00:00:06	00:01:23	00:00:01	00:01:40
